city_name,population,email,website,email_verified
Paris,2103778,dac-parisvousrepond@paris.fr,paris.fr,yes
Marseille,886040,,https://www.marseille.fr/,
Lyon,519127,mairie@mairie-lyon.fr,lyon.fr,yes
Toulouse,514819,mairie@toulouse-metropole.fr,toulouse.fr,yes
Nice,357737,courrier@ville-nice.fr,nice.fr,yes
Nantes,327734,cabinet@mairie-nantes.fr,nantes.fr,yes
Montpellier,310240,contact@montpellier.fr,montpellier.fr,yes
Strasbourg,293771,contact@strasbourg.eu,strasbourg.eu,yes
Bordeaux,267991,contact@mairie-bordeaux.fr,bordeaux.fr,yes
Lille,238246,accueil@mairie-lille.fr,lille.fr,yes
Rennes,230890,courrier@ville-rennes.fr,rennes.fr,yes
Toulon,179116,mairie@mairie-toulon.fr,toulon.fr,yes
Reims,177674,accueil@reimsmetropole.fr,reims.fr,yes
Saint-Étienne,173136,courriermairie@saint-etienne.fr,https://www.saint-etienne.fr/,api-lannuaire
Le Havre,166687,mairie@lehavre.fr,lehavre.fr,yes
Villeurbanne,163684,courrier@mairie-villeurbanne.fr,villeurbanne.fr,yes
Dijon,161830,contact@ville-dijon.fr,dijon.fr,yes
Angers,159022,courrier@ville.angers.fr,angers.fr,yes
Grenoble,156140,info@grenoble.fr,grenoble.fr,yes
Saint-Denis,155634,mairie@ville-saint-denis.fr,ville-saint-denis.fr,yes
Nîmes,151839,,https://www.nimes.fr/,
Aix-en-Provence,149695,communication@mairie-aixenprovence.fr,aixenprovence.fr,yes
Saint-Denis,149077,mairie@ville-saint-denis.fr,ville-saint-denis.fr,yes
Clermont-Ferrand,146351,mairie@clermont-ferrand.fr,clermont-ferrand.fr,yes
Le Mans,146249,mairie@ville-lemans.fr,lemans.fr,yes
Brest,142346,courrier@mairie-brest.fr,brest.fr,yes
Tours,139259,info@ville-tours.fr,tours.fr,yes
Amiens,136449,courrier@amiens-metropole.com,amiens.fr,yes
Annecy,132117,info@annecy.fr,annecy.fr,yes
Limoges,129937,contact@ville-limoges.fr,limoges.fr,yes
Metz,122572,dg@mairie-metz.fr,metz.fr,yes
Perpignan,121616,courrier@mairie-perpignan.com,perpignan.fr,yes
Boulogne-Billancourt,119019,info@boulognebillancourt.com,boulognebillancourt.com,unverified - pattern guess
Besançon,118489,contact.ville@besancon.fr,https://www.besancon.fr/,api-lannuaire
Rouen,117662,courrier@mairie-rouen.fr,rouen.fr,yes
