city_name,population,email,website,email_verified
Paris,2133111,dac-parisvousrepond@paris.fr,paris.fr,yes
Marseille,873076,formulaire contact (pas d'email general public),marseille.fr,no - uses contact form
Lyon,522250,mairie@mairie-lyon.fr,lyon.fr,yes
Toulouse,511684,mairie@toulouse-metropole.fr,toulouse.fr,yes
Nice,342669,courrier@ville-nice.fr,nice.fr,yes
Nantes,314138,cabinet@mairie-nantes.fr,nantes.fr,yes
Montpellier,290053,contact@montpellier.fr,montpellier.fr,yes
Strasbourg,287228,contact@strasbourg.eu,strasbourg.eu,yes
Bordeaux,260958,contact@mairie-bordeaux.fr,bordeaux.fr,yes
Lille,236710,accueil@mairie-lille.fr,lille.fr,yes
Rennes,222485,courrier@ville-rennes.fr,rennes.fr,yes
Reims,182460,accueil@reimsmetropole.fr,reims.fr,yes
Saint-Etienne,174082,mairie@saint-etienne.fr,saint-etienne.fr,yes
Toulon,171953,mairie@mairie-toulon.fr,toulon.fr,yes
Le Havre,170147,mairie@lehavre.fr,lehavre.fr,yes
Grenoble,158198,info@grenoble.fr,grenoble.fr,yes
Dijon,156920,contact@ville-dijon.fr,dijon.fr,yes
Angers,152960,courrier@ville.angers.fr,angers.fr,yes
Nimes,150610,contact@ville-nimes.fr,nimes.fr,yes
Villeurbanne,147712,courrier@mairie-villeurbanne.fr,villeurbanne.fr,yes
Saint-Denis,147931,mairie@ville-saint-denis.fr,ville-saint-denis.fr,yes
Clermont-Ferrand,143886,mairie@clermont-ferrand.fr,clermont-ferrand.fr,yes
Le Mans,142946,mairie@ville-lemans.fr,lemans.fr,yes
Aix-en-Provence,142482,communication@mairie-aixenprovence.fr,aixenprovence.fr,yes
Brest,140064,courrier@mairie-brest.fr,brest.fr,yes
Tours,137658,info@ville-tours.fr,tours.fr,yes
Amiens,134057,courrier@amiens-metropole.com,amiens.fr,yes
Limoges,132175,contact@ville-limoges.fr,limoges.fr,yes
Annecy,126924,info@annecy.fr,annecy.fr,yes
Perpignan,120158,courrier@mairie-perpignan.com,perpignan.fr,yes
Boulogne-Billancourt,120071,info@boulognebillancourt.com,boulognebillancourt.com,unverified - pattern guess
Rouen,114007,courrier@mairie-rouen.fr,rouen.fr,yes
Orleans,116685,contact@orleans-metropole.fr,orleans-metropole.fr,yes
Metz,116429,dg@mairie-metz.fr,metz.fr,yes
Besancon,115934,contact@besancon.fr,besancon.fr,yes
Argenteuil,110210,mairie@ville-argenteuil.fr,argenteuil.fr,yes
Montreuil,109897,formulaire contact (montreuil.fr/contact),montreuil.fr,no - uses contact form
Mulhouse,109443,courrier@mulhouse.fr,mulhouse.fr,yes
Caen,105354,info@caen.fr,caen.fr,yes
Nancy,104286,courrier@mairie-nancy.fr,nancy.fr,yes
Tourcoing,97368,accueil@ville-tourcoing.fr,tourcoing.fr,yes
Roubaix,96990,contact@ville-roubaix.fr,ville-roubaix.fr,yes
Nanterre,95105,dpo@mairie-nanterre.fr,nanterre.fr,unverified - only DPO found
Vitry-sur-Seine,93557,mairie@mairie-vitry94.fr,vitry94.com,yes
Creteil,90605,mairie@ville-creteil.fr,ville-creteil.fr,yes
Poitiers,88291,accueil@poitiers.fr,poitiers.fr,yes
Aubervilliers,86375,cabinet@mairie-aubervilliers.fr,aubervilliers.fr,yes
Versailles,85862,versailles@versailles.fr,versailles.fr,yes
Aulnay-sous-Bois,85740,mairie@aulnay-sous-bois.fr,aulnay-sous-bois.fr,yes
Asnieres-sur-Seine,85191,contact@mairie-asnieres.fr,asnieres-sur-seine.fr,yes
Colombes,85177,info@mairie-colombes.fr,colombes.fr,yes
Courbevoie,81719,mairie@ville-courbevoie.fr,ville-courbevoie.fr,yes
Rueil-Malmaison,78152,info@mairie-rueilmalmaison.fr,villederueil.fr,yes
Champigny-sur-Marne,77630,contact@mairie-champigny.fr,champigny94.fr,yes
Beziers,77177,courrier@ville-beziers.fr,beziers.fr,yes
Pau,77130,mairie-de-pau@ville-pau.fr,pau.fr,yes
La Rochelle,75735,contact@ville-larochelle.fr,larochelle.fr,yes
Saint-Maur-des-Fosses,74859,contact@saint-maur.com,saint-maur.com,yes
Calais,73911,courrier@mairie-calais.fr,calais.fr,yes
Cannes,73868,mairie@ville-cannes.fr,cannes.com,yes
Antibes,72999,mairie@ville-antibes.fr,antibes-juanlespins.com,yes
Drancy,71318,cabinet-du-maire@ville-drancy.fr,drancy.fr,yes
Ajaccio,70659,mairie@ajaccio.fr,ajaccio.fr,yes
Merignac,70105,mairie@merignac.com,merignac.com,yes
Saint-Nazaire,69993,contact@mairie-saintnazaire.fr,saintnazaire.fr,yes
